Id,Amount,EntryDate,Date,ReceiptNumber,PaymentTotal,TransactionTypeId,MemberId,InterestTotal,PaymentCompleted,EntryType,IsReversal,ReversedBy
17136,100,06:47.9,00:00.0,2166,0,3,316,0,0,cr,0,
17137,40,09:15.2,00:00.0,573,0,3,422,0,0,cr,0,
17138,60,09:15.2,00:00.0,573,0,1,422,0,0,cr,0,
17139,10,11:45.7,00:00.0,575,0,3,1574,0,0,cr,0,
17140,100,11:45.7,00:00.0,575,0,1,1574,0,0,cr,0,
17141,10,12:52.9,00:00.0,576,0,1,371,0,0,cr,0,
17142,10,13:40.2,00:00.0,577,0,3,425,0,0,cr,0,
17143,10,13:40.2,00:00.0,577,0,1,425,0,0,cr,0,
17144,100,33:19.6,00:00.0,578,0,3,432,0,0,cr,0,
17145,20,36:54.8,00:00.0,579,0,1,353,0,0,cr,0,
17146,20,56:28.5,00:00.0,580,0,1,325,0,0,cr,0,
17147,50,57:17.0,00:00.0,581,0,1,434,0,0,cr,0,
17148,30,58:49.6,00:00.0,502,0,3,304,0,0,cr,0,
17149,20,58:49.6,00:00.0,502,0,1,304,0,0,cr,0,
17150,2400,59:57.5,00:00.0,L002,0,2,375,288,0,cr,0,
17151,10,08:52.3,00:00.0,583,0,3,425,0,0,cr,0,
17152,10,08:52.3,00:00.0,583,0,1,425,0,0,cr,0,
17153,60,30:07.2,00:00.0,584,0,1,435,0,0,cr,0,
17154,20,31:05.9,00:00.0,585,0,3,409,0,0,cr,0,
17155,50,31:05.9,00:00.0,585,0,1,409,0,0,cr,0,
17156,20,32:23.4,00:00.0,586,0,1,343,0,0,cr,0,
17157,20,33:20.0,00:00.0,587,0,1,325,0,0,cr,0,
17158,50,34:10.2,00:00.0,588,0,1,434,0,0,cr,0,
17159,10,35:03.4,00:00.0,589,0,1,371,0,0,cr,0,
17160,20,35:51.9,00:00.0,411,0,1,370,0,0,cr,0,
17161,100,36:39.7,00:00.0,412,0,3,436,0,0,cr,0,
17162,90,36:39.7,00:00.0,412,0,1,436,0,0,cr,0,
17163,100,37:44.2,00:00.0,413,0,1,398,0,0,cr,0,
17164,100,38:37.7,00:00.0,414,0,1,332,0,0,cr,0,
17165,50,39:38.0,00:00.0,416,0,1,304,0,0,cr,0,
17166,10,40:43.3,00:00.0,417,0,3,437,0,0,cr,0,
17167,10,40:43.3,00:00.0,417,0,1,437,0,0,cr,0,
17168,100,41:32.6,00:00.0,418,0,3,438,0,0,cr,0,
17169,300,41:32.6,00:00.0,418,0,1,438,0,0,cr,0,
17170,10,42:53.9,00:00.0,415,0,3,358,0,0,cr,0,
17171,20,42:53.9,00:00.0,415,0,1,358,0,0,cr,0,
17172,40,46:29.3,00:00.0,420,0,1,422,0,0,cr,0,
17173,10,47:22.6,00:00.0,421,0,1,371,0,0,cr,0,
17174,20,47:59.4,00:00.0,422,0,1,325,0,0,cr,0,
17175,10,48:41.0,00:00.0,423,0,3,425,0,0,cr,0,
17176,10,48:41.0,00:00.0,423,0,1,425,0,0,cr,0,
17177,100,49:48.3,00:00.0,424,0,3,367,0,0,cr,0,
17178,100,49:48.3,00:00.0,424,0,1,367,0,0,cr,0,
17179,50,50:51.7,00:00.0,425,0,3,386,0,0,cr,0,
17180,100,51:42.4,00:00.0,426,0,1,332,0,0,cr,0,
17181,60,52:40.2,00:00.0,427,0,1,432,0,0,cr,0,
17182,50,53:34.9,00:00.0,527,0,1,409,0,0,cr,0,
17183,20,55:52.6,00:00.0,528,0,3,370,0,0,cr,0,
17184,20,55:52.6,00:00.0,528,0,1,370,0,0,cr,0,
17185,40,56:52.4,00:00.0,529,0,1,388,0,0,cr,0,
17186,10,57:51.9,00:00.0,530,0,1,353,0,0,cr,0,
17187,50,58:55.8,00:00.0,531,0,1,304,0,0,cr,0,
17188,80,59:38.8,00:00.0,534,0,1,398,0,0,cr,0,
17189,100,00:24.4,00:00.0,532,0,1,433,0,0,cr,0,
17190,30,01:31.5,00:00.0,428,0,1,17,0,0,cr,0,
17191,20,02:16.7,00:00.0,429,0,1,389,0,0,cr,0,
17192,10,03:07.0,00:00.0,526,0,1,19,0,0,cr,0,
17193,100,46:15.4,00:00.0,590,0,1,375,0,0,cr,0,
17194,70,49:02.6,00:00.0,591,0,1,398,0,0,cr,0,
17195,50,53:05.2,00:00.0,592,0,1,304,0,0,cr,0,
17197,50,56:36.2,00:00.0,535,0,3,432,0,0,cr,0,
17198,20,56:36.2,00:00.0,535,0,1,432,0,0,cr,0,
17199,50,02:44.4,00:00.0,536,0,1,322,0,0,cr,0,
17200,60,04:00.0,00:00.0,537,0,1,1574,0,0,cr,0,
17201,50,47:01.6,00:00.0,538,0,1,7,0,0,cr,0,
17202,20,48:11.5,00:00.0,539,0,1,320,0,0,cr,0,
17203,20,48:54.7,00:00.0,593,0,3,306,0,0,cr,0,
17204,20,48:54.7,00:00.0,593,0,1,306,0,0,cr,0,
17205,50,49:49.9,00:00.0,594,0,3,4,0,0,cr,0,
17206,50,49:49.9,00:00.0,594,0,1,4,0,0,cr,0,
17207,20,51:28.5,00:00.0,595,0,1,419,0,0,cr,0,
17208,150,52:36.0,00:00.0,596,0,1,375,0,0,cr,0,
17209,10,53:25.0,00:00.0,597,0,3,425,0,0,cr,0,
17210,10,53:25.0,00:00.0,597,0,1,425,0,0,cr,0,
17211,100,54:37.7,00:00.0,598,0,3,432,0,0,cr,0,
17212,20,55:46.7,00:00.0,599,0,1,325,0,0,cr,0,
17213,50,56:30.1,00:00.0,600,0,1,304,0,0,cr,0,
17214,20,58:23.8,00:00.0,451,0,3,343,0,0,cr,0,
17215,20,58:23.8,00:00.0,451,0,1,343,0,0,cr,0,
17216,100,59:21.9,00:00.0,452,0,1,332,0,0,cr,0,
17217,10,00:23.1,00:00.0,453,0,3,3,0,0,cr,0,
17218,10,00:23.1,00:00.0,453,0,1,3,0,0,cr,0,
17219,100,01:49.1,00:00.0,454,0,1,316,0,0,cr,0,
17220,50,02:46.2,00:00.0,457,0,1,1573,0,0,cr,0,
17221,50,03:34.0,00:00.0,458,0,1,317,0,0,cr,0,
17222,50,04:16.6,00:00.0,540,0,1,322,0,0,cr,0,
17223,15,12:39.1,00:00.0,541,0,1,371,0,0,cr,0,
17224,10,13:15.8,00:00.0,542,0,3,306,0,0,cr,0,
17225,10,13:15.8,00:00.0,542,0,1,306,0,0,cr,0,
17226,10,14:15.9,00:00.0,543,0,1,353,0,0,cr,0,
17227,50,14:53.7,00:00.0,544,0,3,7,0,0,cr,0,
17228,50,14:53.7,00:00.0,544,0,1,7,0,0,cr,0,
17229,50,15:51.7,00:00.0,545,0,1,398,0,0,cr,0,
17230,100,18:05.0,00:00.0,546,0,1,439,0,0,cr,0,
17231,50,19:41.1,00:00.0,547,0,3,1,0,0,cr,0,
17232,50,19:41.1,00:00.0,547,0,1,1,0,0,cr,0,
17233,50,20:43.9,00:00.0,547,0,3,4,0,0,cr,0,
17234,50,20:43.9,00:00.0,547,0,1,4,0,0,cr,0,
17235,10,21:56.1,00:00.0,459,0,3,329,0,0,cr,0,
17236,50,16:56.2,00:00.0,430,0,1,434,0,0,cr,0,
17237,20,20:51.6,00:00.0,431,0,1,320,0,0,cr,0,
17238,100,21:34.4,00:00.0,460,0,3,439,0,0,cr,0,
17239,20,21:34.4,00:00.0,460,0,1,439,0,0,cr,0,
